holding_month,portfolio,instrument,contribution
2018-02,baseline,A000030,-0.0001055329439496751
2018-02,baseline,A000050,-0.0002621369173393631
2018-02,baseline,A000070,-0.000478031334333747
2018-02,baseline,A000080,-0.0003396218113774527
2018-02,baseline,A000100,-0.0004731409995372654
2018-02,baseline,A000120,-0.0004223418889457801
2018-02,baseline,A000150,-0.0007716651424390336
2018-02,baseline,A000210,-0.0005941770578302747
2018-02,baseline,A000240,-6.360836982470293e-05
2018-02,baseline,A000270,-0.00012497609981456122
2018-02,baseline,A000640,-0.000576701269231337
2018-02,baseline,A000660,0.00020364941455983197
2018-02,baseline,A000670,-0.0004428614497979994
2018-02,baseline,A000720,-0.0007264033326263401
2018-02,baseline,A000810,-0.00013837000139609807
2018-02,baseline,A000880,-0.0004352030836955311
2018-02,baseline,A000990,-0.00025817277944458617
2018-02,baseline,A001040,-0.0006330333400523837
2018-02,baseline,A001060,-0.0006050084147804519
2018-02,baseline,A001120,-0.0007600274650795359
2018-02,baseline,A001230,-0.000962000955550495
2018-02,baseline,A001430,-0.0007482229748234771
2018-02,baseline,A001450,-0.0008506677023160115
2018-02,baseline,A001520,-0.0005684550977306057
2018-02,baseline,A001680,-0.00048724723958105693
2018-02,baseline,A001740,-0.00045345090953251613
2018-02,baseline,A001800,-0.0006781597010608999
2018-02,baseline,A002240,-0.0005094169347937188
2018-02,baseline,A002270,-0.0005058408973793351
2018-02,baseline,A002350,-0.0002817014760123946
2018-02,baseline,A002380,-0.0007783932374620003
2018-02,baseline,A002790,-0.0005751464672105935
2018-02,baseline,A002960,-0.00030609122157728005
2018-02,baseline,A003000,-0.0004810004763017228
2018-02,baseline,A003030,-0.0011426482138980607
2018-02,baseline,A003240,-0.00037614027686874637
2018-02,baseline,A003300,-0.0013004294486573596
2018-02,baseline,A003410,-0.00034592499597006483
2018-02,baseline,A003490,-0.000763831281903067
2018-02,baseline,A003520,-0.0005150358892383641
2018-02,baseline,A003550,-0.0004666227498335523
2018-02,baseline,A003620,-0.0005429723898744208
2018-02,baseline,A003850,-0.0005989094535743666
2018-02,baseline,A003920,-0.00011494748233721331
2018-02,baseline,A004000,-0.00039783684870672604
2018-02,baseline,A004020,-0.0005146455872538841
2018-02,baseline,A004170,-0.0003738502751155622
2018-02,baseline,A004370,-0.0003784017744079016
2018-02,baseline,A004490,-0.0003885003856348404
2018-02,baseline,A004710,-0.0007511826901776177
2018-02,baseline,A004800,-0.0006221636734308481
2018-02,baseline,A004990,-0.0006259172984765342
2018-02,baseline,A005180,-0.00035802976917916475
2018-02,baseline,A005250,7.346188606895416e-05
2018-02,baseline,A005300,-0.00018539827476310615
2018-02,baseline,A005380,-0.00014160294658878877
2018-02,baseline,A005440,-0.0006486887256084611
2018-02,baseline,A005490,-0.0005945531380011464
2018-02,baseline,A005610,-0.000911008821411218
2018-02,baseline,A005830,-0.00035833569554626684
2018-02,baseline,A005850,-0.0007727548751309375
2018-02,baseline,A005930,-0.00038522519006496127
2018-02,baseline,A005940,-0.0007665945216850166
2018-02,baseline,A006120,-0.0008127249661396328
2018-02,baseline,A006260,-0.0003223726592258188
2018-02,baseline,A006280,-0.0001449372488193309
2018-02,baseline,A006360,-0.0006627359782021424
2018-02,baseline,A006400,-0.0004579124410867354
2018-02,baseline,A006650,-0.0003765727418705738
2018-02,baseline,A006800,-0.0008684126527405291
2018-02,baseline,A006840,-0.00025884591908157935
2018-02,baseline,A007070,-0.0005611672316438191
2018-02,baseline,A007310,-0.00046630149965291395
2018-02,baseline,A007570,-0.0003297790504477574
2018-02,baseline,A008060,-0.0004053203623281874
2018-02,baseline,A008560,-0.0006113274135745477
2018-02,baseline,A008770,-0.0007958056299904506
2018-02,baseline,A008930,-0.0009411185136787186
2018-02,baseline,A009150,-0.0005884083560640407
2018-02,baseline,A009240,-0.0005528659309525463
2018-02,baseline,A009290,-0.00011627790488952267
2018-02,baseline,A009420,-0.0004597701056540918
2018-02,baseline,A009540,-0.00032467531792382465
2018-02,baseline,A009830,-0.0004951475553544414
2018-02,baseline,A010060,0.0002420369915594613
2018-02,baseline,A010120,-0.0010320597386643624
2018-02,baseline,A010130,-0.0001277364931465635
2018-02,baseline,A010140,-0.000603688961595811
2018-02,baseline,A010620,-0.00022648004075434856
2018-02,baseline,A010780,-0.0009130495836698961
2018-02,baseline,A010950,8.145977188585748e-05
2018-02,baseline,A011070,0.00013756237784304603
2018-02,baseline,A011170,0.0005552602085772265
2018-02,baseline,A011210,-0.00046213770470227125
2018-02,baseline,A011780,-0.0006619594047302161
2018-02,baseline,A011790,-0.0006899906057397323
2018-02,baseline,A012330,-0.0005235279763532128
2018-02,baseline,A012450,-0.0008630134977567288
2018-02,baseline,A012630,-0.0008540047796936433
2018-02,baseline,A012750,-0.0003045530693708596
2018-02,baseline,A014680,0.0005080838150542809
2018-02,baseline,A014820,-0.0004184426017136804
2018-02,baseline,A014830,-0.00025979963562389245
2018-02,baseline,A015760,-0.0004349046043129148
2018-02,baseline,A016360,-0.0004743887948739648
2018-02,baseline,A017670,-0.0005214670585064735
2018-02,baseline,A017800,-0.00029806260922733376
2018-02,baseline,A018260,-0.0003551136261049934
2018-02,baseline,A018880,-0.00032399466890303314
2018-02,baseline,A019680,-8.016674076994588e-05
2018-02,baseline,A020000,-0.0005973715642898156
2018-02,baseline,A020150,-0.0007670007472969424
2018-02,baseline,A021240,-0.0005271925778961901
2018-02,baseline,A023530,-0.0009080706087838948
2018-02,baseline,A024110,3.0333356213120963e-05
2018-02,baseline,A025540,-0.00042210967542445426
2018-02,baseline,A025860,-0.00017825311400586677
2018-02,baseline,A026960,-0.0002616842063686365
2018-02,baseline,A028050,-0.000430778388066489
2018-02,baseline,A028260,-0.000481850310207784
2018-02,baseline,A028670,-0.00018487704315889197
2018-02,baseline,A029530,-0.0004202818109841933
2018-02,baseline,A029780,-0.00037582086798664254
2018-02,baseline,A030000,-0.0006854256833279672
2018-02,baseline,A030200,-0.0003161906755422508
2018-02,baseline,A032640,-0.0006710461321733717
2018-02,baseline,A032830,-0.0003340801163566329
2018-02,baseline,A033780,-0.00042283298597869023
2018-02,baseline,A033920,-0.0004500449876736961
2018-02,baseline,A034020,-0.0006199721720415428
2018-02,baseline,A034120,-0.0006994404528496502
2018-02,baseline,A034220,-0.00038297668412173695
2018-02,baseline,A034730,-0.0006184291816993425
2018-02,baseline,A035250,-0.0007301935116122736
2018-02,baseline,A035420,-0.0007496415931648025
2018-02,baseline,A035720,-0.0004996966562371528
2018-02,baseline,A036460,-0.00012121214195448203
2018-02,baseline,A036570,-0.0007770007781213308
2018-02,baseline,A036580,-0.0004899743529579672
2018-02,baseline,A042670,-0.000933097804012359
2018-02,baseline,A047040,-0.0008458974127083081
2018-02,baseline,A047050,-0.001067586418219754
2018-02,baseline,A047810,-0.0002735283161009063
2018-02,baseline,A049770,-0.0004716424909209711
2018-02,baseline,A051600,-0.0002988464529796574
2018-02,baseline,A051900,-0.00039536780273507035
2018-02,baseline,A051910,-0.0004223839278844896
2018-02,baseline,A052690,-0.00024099919280549034
2018-02,baseline,A055550,-0.0005905058117358373
2018-02,baseline,A057050,-0.0005658242170911379
2018-02,baseline,A060980,-0.000680683719257832
2018-02,baseline,A064350,-0.0005138595246792421
2018-02,baseline,A064960,-0.000487599592571976
2018-02,baseline,A066570,-0.00012199285341300027
2018-02,baseline,A069260,8.87784261757163e-05
2018-02,baseline,A069620,0.0002773398524879135
2018-02,baseline,A069960,-0.0006246035265960185
2018-02,baseline,A071050,-0.00040636248575292856
2018-02,baseline,A073240,-0.0010454622200230658
2018-02,baseline,A078520,-0.00014619881471279137
2018-02,baseline,A078930,-0.0003463203430855537
2018-02,baseline,A079160,-0.0006167069127015199
